vote_account,name,marinade_activated_stake_sol_epoch_0,marinade_activated_stake_sol_epoch_1,marinade_activated_stake_sol_epoch_2,marinade_activated_stake_sol_epoch_3,marinade_activated_stake_sol_epoch_4,marinade_activated_stake_sol_epoch_5,marinade_activated_stake_sol_epoch_6,marinade_activated_stake_sol_epoch_7,marinade_activated_stake_sol_epoch_8,marinade_activated_stake_sol_epoch_9,bid_pmpe_epoch_0,bid_pmpe_epoch_1,bid_pmpe_epoch_2,bid_pmpe_epoch_3,bid_pmpe_epoch_4,bid_pmpe_epoch_5,bid_pmpe_epoch_6,bid_pmpe_epoch_7,bid_pmpe_epoch_8,bid_pmpe_epoch_9,bond_balance_sol_epoch_0,bond_balance_sol_epoch_1,bond_balance_sol_epoch_2,bond_balance_sol_epoch_3,bond_balance_sol_epoch_4,bond_balance_sol_epoch_5,bond_balance_sol_epoch_6,bond_balance_sol_epoch_7,bond_balance_sol_epoch_8,bond_balance_sol_epoch_9,stake_priority_epoch_0,stake_priority_epoch_1,stake_priority_epoch_2,stake_priority_epoch_3,stake_priority_epoch_4,stake_priority_epoch_5,stake_priority_epoch_6,stake_priority_epoch_7,stake_priority_epoch_8,stake_priority_epoch_9,unstake_priority_epoch_0,unstake_priority_epoch_1,unstake_priority_epoch_2,unstake_priority_epoch_3,unstake_priority_epoch_4,unstake_priority_epoch_5,unstake_priority_epoch_6,unstake_priority_epoch_7,unstake_priority_epoch_8,unstake_priority_epoch_9
6bb3VS1Mx1UBEiyFbrdh4QeB4FRVCBwreL3C9mWvKWiH,Servetheworld AS,114453.619833853,114408.514944116,114369.76241317,114368.875841035,114331.359460652,114300.079424449,114259.130748882,114538.517982878,114751.386564689,114751.386564689,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.0105,0.0105,0.0105,100.161005394,100.236094935,100.312744985,100.389364011,100.46412679,100.538126315,101.694685902,102.848019719,104.00931742,105.166043958,241,241,240,237,240,242,239,207,214,218,64,78,72,69,86,81,84,50,73,74
Azc2uttGtHsRLorfQzd7tsMNtfaEg7LyvVEMVtckPCNN,Glide Student Residential Limited,117275.280920331,117251.137192933,117204.913961308,117168.969847244,117264.690189909,117160.500533154,51709.449154013,24373.497130311,24325.198508295,24325.198508295,0.0008,0.0008,0.0008,0.0008,0.002,0.002,0.2,0.2,0.002,0.002,177.181516135,177.196001134,177.215282393,177.372793939,177.534029217,184.925017133,187.650078163,84.07000358,34.103693665,34.235768872,254,254,253,250,245,246,104,102,244,247,76,90,85,84,89,83,517,534,115,112
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,Vorboss Limited,132814.263502016,132761.921711819,132709.59676963,132659.420698675,132607.249946147,132554.94995809,132502.775245315,132450.570256637,132210.298052983,132210.298052983,0.0005,0.0005,0.0005,0.0005,0.001,0.001,0.001,0.001,0.001,0.001,172.751771561,172.740921736,172.73338927,172.788784376,172.847935615,172.906038756,172.965931804,173.019563612,173.07963962,173.137418451,256,257,254,251,252,252,247,244,251,254,77,91,86,85,95,89,89,93,120,117
21wUViiyG1g47VZ39ZZsSkFX9nu6bkyfy6jryHGD2TUB,I d.net B.v,108405.295395238,63758.975992614,63735.894384966,63716.865490915,63694.122866739,63708.965659992,63951.441089277,63977.603476154,38574.343872492,38574.343872492,0.0003,0.251499999,0.0009,0.0009,0.005,0.005,0.009,0.009,0.012,0.515,230.989038433,230.947530341,230.872282262,231.091153021,231.310688209,231.785377007,194.278579127,194.956497197,200.898135309,179.234515527,258,79,252,249,231,233,220,218,215,37,80,522,84,83,73,67,62,66,74,525
8vyuJTHSDkx7k1zymea4TMsgvixf3rCYBXHPDQajePkE,UK Dedicated Servers Limited,102481.629723397,102441.241379279,102400.881568434,102441.592191009,102401.30483899,102297.410612117,27500.172594964,27489.337715409,27434.863856021,27434.863856021,0.0003,0.0003,0.0003,0.0003,0.0015,0.0015,0.17,0.0015,0.0015,0.0015,148.324080391,148.285875351,148.249893572,148.341032174,148.431867135,152.33715408,152.313403634,49.575867866,49.597340254,49.61725395,258,259,258,254,247,248,114,240,246,249,81,93,88,86,92,86,526,90,117,114
2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH,Velia.net Internetdienste GmbH,102885.890544018,102268.162107626,101936.150206969,102116.242124318,102392.465356658,100114.350697221,89284.17297904,87296.673520086,87154.573028831,87154.573028831,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.37,0.37,180.533313555,180.059637574,179.603531588,179.313006873,178.910621363,178.575456662,177.947328665,177.57460554,137.470486597,137.266330547,56,50,52,52,53,49,45,43,55,63,163,165,161,160,172,173,178,181,195,188
DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY,Velia.net Internetdienste GmbH,102282.670648105,101847.677377246,101590.764919596,101768.485735745,102091.764540329,100432.152004655,100816.547461679,101190.388035956,101068.226870757,101068.226870757,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.33,0.33,118.022856888,117.527115106,117.043442996,131.731082977,123.573497603,123.40879423,121.889807731,121.533674565,121.562215169,121.472728266,72,66,69,67,69,66,62,59,68,77,144,152,146,148,155,152,149,154,174,174
HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,DCS LLC,105917.694249406,105969.264310604,105531.46722223,105671.557732126,105921.37106764,102923.921584062,103053.058482427,103241.399339223,102742.890195848,102742.890195848,0.1611,0.1611,0.17,0.23,0.23,0.23,0.23,0.23,0.15,0.2315,102.368240908,117.075788722,131.797331108,126.663278825,139.290058194,153.61770705,104.994509905,114.84357018,78.78533975,94.686110207,117,114,110,84,87,86,83,80,125,92,155,167,172,155,173,176,155,163,169,166
BT8LZUvQVwFHRGw2Dwv7UeqDUq7btfjegLpuz5bwgziD,Serverside.com,368432.995821549,367051.830261719,366263.429052783,367058.202987595,368347.8774186,363206.12214678,364304.892683221,366163.86385796,363811.839042664,363811.839042664,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,842.80749759,893.522575349,944.490288114,546.114934551,590.540535116,640.949627456,681.127138921,715.91535716,772.377758138,828.747450073,95,90,92,93,96,95,93,91,92,102,141,151,144,139,153,148,147,149,170,169
9fgw3MScN9xDUTLZJaiqTBF9BmoASJGWmJCdUKSjzsXs,Latitude.sh,182744.117247007,180202.590809241,179200.066641928,179147.513078084,178217.513499546,0.0,0.0,0.0,0.0,0.0,1.8,1.8,1.25,1.25,1.25,1.1,0.0,0.0,0.0,0.0,1650.416397064,1674.743543721,1042.815580768,1075.845718291,1075.423601412,1075.000000002,,,,,5,4,10,7,6,4,300,295,303,307,184,498,192,500,500,197,0,0,0,0
2qD6yvLwy3ckWxsS1iQwrkCjLgcvH1u9PLu5m9KRRn5x,Albanian Hosting SH.P.K.,101779.721255906,78629.698035378,53506.970299832,53718.188986047,54035.330431696,50658.622155342,50929.5135547,51119.678753968,8506.890803122,8506.890803122,1.37,1.32,1.5,0.3,0.3,0.3,0.81,0.81,0.81,0.81,464.658105136,471.915389103,279.270182292,207.015303765,213.355882224,220.532627859,201.104538399,207.169046151,216.144735987,217.898826917,8,7,3,75,79,77,13,13,14,19,164,189,165,526,522,524,191,196,535,542
H7JJ6aE73ufbUuDCZSQMxguQsj28XHe4VQyMk2hsVGoo,Velia.net Internetdienste GmbH,103954.437546235,103416.875828153,103068.387053663,103243.052040788,103621.2244129,101329.607020793,90824.659742677,90618.083848058,90481.239277348,90481.239277348,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.37,0.37,178.536140799,178.223744797,177.931080294,177.817943412,177.567098994,177.447184385,176.701680838,176.14082686,146.06026392,145.869598769,44,50,52,52,53,49,45,43,55,63,151,162,160,158,170,171,177,179,198,193
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,Datacamp Limited,126900.618503847,125352.622926818,15147.286572483,0.0,1585.555041304,108687.31478558,111885.768653238,113929.046967615,114427.455465619,114427.455465619,0.01,0.75,0.75,0.75,0.01,0.01,0.01,0.01,0.01,0.01,424.096396904,426.065743475,425.878917722,425.711777566,426.62422927,218.763568194,219.809486227,221.640542309,222.691191374,223.736025926,213,30,32,30,211,211,208,208,216,219,35,183,542,194,53,42,46,51,75,75
3ZUQekqiZoybB57y49eqtvSaoonqDwuNbeqEGwN88JkQ,Dataforest GmbH,157270.612160312,341320.83680537,181229.62027223,256591.801494649,312474.034649618,314682.759213248,334356.387532873,360788.682873249,245202.814155859,245202.814155859,0.004,0.01,1.3,0.004,0.004,0.004,0.004,0.004,1.01,0.91,970.517241749,995.409281296,995.929053679,896.752165676,897.463070823,898.153322967,899.217471976,923.496143874,961.033722279,961.597030138,219,213,4,215,218,219,222,221,3,5,39,50,185,43,59,52,64,69,205,202
Simpj3KyRQmpRkXuBvCQFS7DBBG6vqw93SkZb9UD1hp,Latitude.sh LTDA,130092.526431461,130061.502530122,130172.155854499,130242.855728948,130533.005691463,130804.403606718,130992.97380058,132039.681267861,131883.794762185,131883.794762185,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,292.626033729,292.891843315,293.158005113,293.432940823,293.704860071,293.968891165,294.243760121,294.515624147,294.796640984,295.598741088,286,287,286,281,280,280,273,271,277,281,113,126,120,116,130,124,124,129,150,148
EreifamaYZ1cAtegv5hJFgRSqDQg3i6uRamWXfYuJeC8,Wijnand Schouten,104315.346786747,104300.695248334,104317.488600988,104357.132871939,104501.722103518,104683.424835605,104795.654803101,105435.728167288,105342.207785507,105342.207785507,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,3e-09,163.153151481,163.086618961,163.023587981,162.953906988,162.885533557,162.816385506,162.751762344,163.237334417,163.170180122,163.101203418,299,300,300,295,292,293,286,282,288,292,125,136,131,127,140,133,133,136,156,154
4CaonBV9LeqJ2oGhTdbNMWKFcHMbLmCnpCyvrRZtLkz3,Amarutu Technology LTD,141551.29765289,141515.807714585,141462.976260432,141591.971298018,141883.50045028,141892.822873286,141964.788800708,141368.41590159,104863.323596343,104863.323596343,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.21,0.21,0.21,184.925873283,184.987973694,185.059834233,185.110943937,185.180287169,185.242043436,204.221161065,218.204987242,229.371025224,149.309701146,291,292,290,285,284,285,277,104,108,119,120,132,124,120,136,130,130,186,510,208
GSaWJ4FjXQ3RGctXaBdcW9oh939cwxXUeeV9A9d4shvf,Servetheworld AS,131310.432526033,131319.216986859,131270.10219649,131489.508736286,131730.908030483,131775.539295514,131849.487350876,131379.875216677,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.25,0.25,0.25,172.422348949,172.477031189,172.531064786,172.590629709,172.644543042,172.69649582,190.333269674,206.081934674,230.18134613,230.086355189,291,292,290,285,284,285,277,87,88,97,121,133,125,121,137,129,129,182,229,232
4m1PbxzwLdUnEwog3T9UKxgjktgriHgE1CfAhMqDw7Xx,Latitude.sh,319075.071123694,319062.92048854,319250.701131695,320247.754013148,321101.680157849,322448.730174899,324422.137919401,327066.889608946,0.0,0.0,0.0009,0.0009,0.0009,0.0009,0.001,0.005,0.005,0.005,0.005,1.0,300.395962265,300.564889985,300.490312347,300.467136805,301.728385082,852.886583434,854.173824667,855.459406489,875.010497521,875.99639025,292,293,292,287,284,277,270,267,274,3,124,135,128,124,135,118,118,123,419,217
GMiBDMmwFRZfxVuHt3bXe6ZF7mGUBGWKXHLfY97NwQ72,"The Constant Company, LLC",114854.006841347,114946.566152409,113226.548088664,92257.170363969,93175.15907047,93570.62077508,94714.284650022,95465.422202677,535.105982615,535.105982615,0.007,0.007,1.31,1.31,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,372.8167492,391.26794872,406.272699363,407.243886359,238.216380406,239.19726855,240.194143786,241.189873078,242.194654024,243.201628728,280,281,7,4,269,270,264,261,268,272,109,122,154,161,115,108,107,112,138,135
Cue647T8jgwpRSDUb8ttTYx7NiEfJCRZNiiw1qmchXsG,Latitude.sh,344319.123768397,162304.542620457,162600.240088848,175180.013107337,176174.001316124,168677.195363925,98868.401949085,100534.184291545,115328.802370246,115328.802370246,0.007,0.22,0.0115,0.0115,1.301,1.36,1.11,0.0115,0.0291,0.0291,1022.946392649,1024.213227534,1025.687772227,1054.407904292,1078.872105901,1094.66068862,946.633113761,449.494548684,452.63083672,455.786361361,280,98,273,267,4,3,4,261,227,230,108,507,105,101,498,498,512,111,94,91
5mSBnz3zNSVzXQHxBmrTLESynukH2JHVcCN14GHtVsWD,UAB INIT,125040.508391176,125002.343029428,125066.775647498,125529.640495412,126104.823170631,126435.203658126,127103.072668658,128101.097401858,128221.030171489,128221.030171489,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,147.492137316,148.676883783,149.867640822,151.065461184,152.262553056,153.463489978,134.689826775,135.91284136,137.141799683,138.36679119,275,277,276,270,272,273,266,263,270,274,100,112,107,103,117,110,108,113,139,136
